record_id,date,year,month,province,region,energy_type,installed_capacity_mw,generation_gwh,utilization_hours,average_temperature_c,precipitation_mm,wind_speed_m_s,solar_radiation_kwh_m2,grid_connection_rate_pct,investment_million_cny,policy_support_level
RE00004,2019-01-01,2019,1,云南,西南,光伏,2406.45,241.23,109.01,6.14,63.99,5.12,111.66,89.28,131.29,低
RE00022,2019-02-01,2019,2,云南,西南,光伏,2476.96,225.76,102.9,9.32,50.75,5.08,119.45,88.57,132.08,低
RE00040,2019-03-01,2019,3,云南,西南,光伏,2480.58,318.83,141.26,11.1,25.27,4.99,130.01,88.95,113.01,低
RE00058,2019-04-01,2019,4,云南,西南,光伏,2477.3,381.38,166.39,17.77,40.94,4.13,182.31,88.75,130.2,低
RE00076,2019-05-01,2019,5,云南,西南,光伏,2562.46,390.01,168.13,24.08,71.27,3.91,187.93,89.94,135.69,低
RE00094,2019-06-01,2019,6,云南,西南,光伏,2512.06,351.68,158.27,26.64,109.44,2.91,200.24,89.53,126.88,低
RE00112,2019-07-01,2019,7,云南,西南,光伏,2689.37,324.09,134.14,29.03,133.22,2.34,180.0,87.56,133.42,低
RE00130,2019-08-01,2019,8,云南,西南,光伏,2669.32,292.84,127.05,28.27,148.26,3.02,152.07,85.95,148.41,低
RE00148,2019-09-01,2019,9,云南,西南,光伏,2775.44,329.9,134.02,23.29,101.13,4.02,146.09,90.57,130.03,低
RE00166,2019-10-01,2019,10,云南,西南,光伏,2690.99,288.67,119.48,15.8,94.56,4.11,110.21,88.81,148.99,低
RE00184,2019-11-01,2019,11,云南,西南,光伏,2761.07,247.76,101.63,16.12,110.01,4.01,84.18,89.31,157.35,低
RE00202,2019-12-01,2019,12,云南,西南,光伏,2783.85,275.12,113.2,9.57,66.34,4.34,93.66,87.89,133.27,低
RE00220,2020-01-01,2020,1,云南,西南,光伏,2861.38,306.85,121.18,8.65,28.11,5.57,106.77,89.42,135.35,低
RE00238,2020-02-01,2020,2,云南,西南,光伏,2898.2,332.95,129.42,9.98,23.35,5.27,114.65,88.06,142.76,低
RE00256,2020-03-01,2020,3,云南,西南,光伏,2936.42,367.29,145.09,12.47,43.3,5.12,141.16,86.76,155.62,低
RE00274,2020-04-01,2020,4,云南,西南,光伏,3010.5,435.11,161.18,15.57,65.94,3.82,178.61,89.88,127.28,低
RE00292,2020-05-01,2020,5,云南,西南,光伏,2953.45,435.81,163.15,22.59,91.75,4.91,185.35,89.8,136.11,低
RE00310,2020-06-01,2020,6,云南,西南,光伏,3001.4,421.89,153.04,27.12,112.46,3.37,191.49,90.66,156.89,低
RE00328,2020-07-01,2020,7,云南,西南,光伏,3063.9,454.77,166.47,28.42,100.75,2.82,200.93,89.67,150.81,低
RE00346,2020-08-01,2020,8,云南,西南,光伏,3161.71,366.77,129.97,27.1,118.51,3.16,168.44,90.1,149.78,低
