year,energy_type,installed_capacity_mw
2019,光伏,56650.119999999995
2019,水电,121839.62
2019,风电,72271.79
2020,光伏,69059.81
2020,水电,122682.09
2020,风电,82062.66
2021,光伏,81070.76000000001
2021,水电,125321.8
2021,风电,92466.37999999999
2022,光伏,97499.86
2022,水电,129032.01000000001
2022,风电,102688.67000000001
2023,光伏,116176.73
2023,水电,135368.33000000002
2023,风电,115658.15
2024,光伏,141050.02000000002
2024,水电,138260.77
2024,风电,135215.34
2025,光伏,168856.66999999998
2025,水电,142943.61
2025,风电,149633.68
