month,energy_type,utilization_hours
1,光伏,118.95261904761905
1,水电,117.70142857142858
1,风电,198.57261904761904
2,光伏,129.7995238095238
2,水电,109.70714285714286
2,风电,195.9138095238095
3,光伏,138.68047619047618
3,水电,112.41619047619047
3,风电,197.52190476190475
4,光伏,151.73238095238096
4,水电,125.2652380952381
4,风电,184.46833333333333
5,光伏,155.77142857142857
5,水电,139.20833333333334
5,风电,168.90809523809526
6,光伏,156.01595238095237
6,水电,161.94142857142856
6,风电,151.1492857142857
7,光伏,152.02261904761903
7,水电,174.41500000000002
7,风电,141.24119047619047
8,光伏,139.51928571428573
8,水电,176.99738095238095
8,风电,140.1547619047619
9,光伏,128.03857142857143
9,水电,171.38809523809525
9,风电,143.0404761904762
10,光伏,116.37738095238096
10,水电,160.4254761904762
10,风电,159.23166666666665
11,光伏,108.27952380952381
11,水电,145.1845238095238
11,风电,169.63880952380953
12,光伏,111.615
12,水电,130.625
12,风电,180.59357142857144
